Rank,BiomeCode,BiomeName,Mahogany,Barauna,Kingwood,Ironbark,Oak,Purple Heartwood,Ironwood,Silver Maple,Walnut,Teak,Ebony,Paper Birch,Tallowood,Orangewood,Makore,Beech,Ash,Cherry,Bamboo,Cypress,Sycamore,Chestnut,Poplar,Unobtainium,Adamantine,Jade,Moonstone,Coal,Gypsum,Pyrite,Sandstone,Granite,Basalt,Turquoise,Feldspar,Limestone,Marble,Calcite,Cinnabar,Mythril,Gold,Obsidian,Platinum,Uranium,Silver,Lead,Magnetite,Iron,Titanium,Iridium,Copper,Nickel,Glass,Zinc,Saffron,Snakewood,Spices,Hemlock,Pearwood,Cinnamon,Mesquite,Rosewood,Blackwood,Black Pepper,Diamond,Sapphire,Ruby,Emerald,Petrified Wood,Amber,Topaz,Quartz,Amethyst,Opal,Garnet,Aquamarine,Peridot,Truffletainium,Necrotium,Deathcap,Redcap,Mycoite,Fragile Dapperling,Barkshroom,Mycolumin,Tinder Fungus,Stonecilium,Portobello,Brain,Gland,Organ,Feather,Claw,Carapace,Horn,Leather,Eggs,Tooth,Bone,Hide
11,DP,dry plains,.0447,.0438,.0427,.0391,.0415,.0392,.0358,.0447,.0427,.0447,.0307,.0449,.0428,.0429,.0392,.0416,.0422,.0443,.0435,.0415,.0420,.0382,.0426,.0402,.0421,.0288,.0321,.0380,.0380,.0389,.0329,.0250,.0302,.0375,.0262,.0314,.0288,.0347,.0431,.0440,.0453,.0440,.0453,.0453,.0440,.0000,.0354,.0325,.0217,.0453,.0280,.0280,.0329,.0280,.0456,.0424,.0443,.0362,.0372,.0387,.0399,.0408,.0406,.0353,.0380,.0335,.0360,.0280,.0426,.0419,.0259,.0384,.0372,.0332,.0372,.0344,.0362,.0308,.0293,.0244,.0312,.0337,.0339,.0415,.0356,.0393,.0342,.0401,.0452,.0430,.0387,.0414,.0377,.0393,.0425,.0418,.0444,.0452,.0380,.0446
12,RP,rocky plains,.0731,.1086,.0807,.0734,.0783,.1146,.1452,.1077,.0899,.0731,.0525,.0765,.0827,.0702,.0702,.0534,.1106,.0482,.0648,.0945,.0971,.0840,.0999,.1508,.0798,.0942,.0760,.0951,.1226,.1764,.0407,.0690,.0966,.1602,.1062,.0822,.0942,.0886,.0443,.0088,.1359,.0000,.0906,.1359,.1761,.0181,.2000,.2169,.0813,.0091,.1121,.1121,.0407,.1121,.0674,.0803,.0911,.1078,.0732,.0635,.0777,.0910,.0759,.0986,.0951,.1086,.1441,.1121,.0840,.0796,.1236,.0203,.0822,.0662,.0822,.0749,.0850,.0804,.0788,.0464,.0707,.1268,.1150,.0848,.0891,.0667,.0986,.0826,.0711,.0757,.0850,.0782,.0831,.0845,.0747,.0773,.0723,.0711,.0854,.0719
13,D,desert,.0359,.0566,.1014,.0465,.0831,.0443,.0775,.0674,.0606,.0359,.0162,.0364,.0456,.0611,.0579,.0508,.0525,.0613,.0577,.0327,.0620,.0384,.0562,.1005,.0591,.0602,.0640,.1901,.0677,.0723,.0693,.0640,.0574,.0722,.0491,.0714,.0602,.1307,.0383,.0176,.0362,.0880,.0453,.1359,.0880,.0000,.1250,.1085,.0217,.0604,.0561,.0561,.0982,.0561,.0456,.0802,.0660,.0424,.0675,.0691,.0479,.0497,.0285,.0575,.1901,.0290,.0720,.0561,.0601,.0524,.0814,.0931,.0826,.0746,.0826,.0829,.1365,.0804,.0511,.0388,.1145,.0789,.0868,.0538,.0841,.1124,.0767,.0555,.0256,.0385,.0644,.0469,.0626,.0595,.0377,.0444,.0298,.0256,.0692,.0285
14,HD,high desert,.0706,.0517,.0252,.0562,.0355,.0880,.1094,.0093,.0372,.0706,.0547,.0369,.0527,.0435,.0439,.0727,.0638,.0715,.0571,.0664,.0280,.0570,.0623,.1005,.1383,.1135,.1139,.0475,.0835,.1719,.1423,.1306,.1510,.1140,.1127,.1144,.1135,.0810,.1572,.1761,.1812,.1761,.0906,.1812,.0000,.0906,.1000,.1627,.1085,.0906,.1121,.1121,.1423,.1121,.1200,.0817,.0884,.0790,.1036,.1026,.0720,.0509,.0364,.1005,.0475,.1448,.0561,.1121,.0509,.0563,.1448,.1592,.1076,.1356,.1076,.1310,.0892,.1096,.0733,.0978,.0726,.1154,.0901,.0550,.1033,.0872,.1179,.0835,.0216,.0404,.0779,.0550,.0817,.0649,.0423,.0511,.0289,.0216,.0909,.0270
15,WD,windy desert,.0629,.0785,.0507,.0341,.0452,.0527,.0713,.0483,.0452,.0629,.0834,.0381,.0540,.0412,.0475,.0459,.0699,.0465,.0507,.0437,.0383,.0298,.0738,.1508,.1194,.1003,.0749,.0951,.0785,.0995,.0656,.0952,.1208,.0858,.0791,.1215,.1003,.1083,.1037,.0880,.0906,.0880,.1359,.0906,.0880,.1812,.0150,.1085,.0022,.0906,.0561,.0280,.1067,.0420,.0616,.0850,.0779,.0399,.0770,.0665,.0474,.0519,.0561,.0785,.0951,.0464,.0580,.0490,.0565,.0492,.1267,.0974,.0777,.0732,.0777,.0905,.0928,.0618,.1005,.1093,.1022,.0541,.0621,.0528,.0762,.0817,.0999,.0642,.0207,.0351,.0639,.0453,.0672,.0596,.0367,.0426,.0258,.0207,.0683,.0245
16,CD,cold desert,.0475,.0381,.0842,.0453,.0712,.0425,.0389,.0954,.0702,.0475,.0365,.0479,.0393,.0592,.0586,.0475,.0395,.0617,.0642,.0249,.0754,.0354,.0436,.0503,.0691,.0562,.0622,.1426,.1004,.0163,.0549,.0294,.0137,.0592,.0504,.0620,.0562,.1023,.0786,.0880,.0000,.0880,.1359,.0050,.1761,.0362,.0400,.0325,.0217,.1359,.0280,.0561,.0549,.0420,.0380,.0767,.0685,.0470,.0539,.0676,.0486,.0535,.0335,.0594,.1426,.0108,.1161,.0350,.0538,.0499,.0246,.0714,.0937,.0532,.0937,.0674,.1050,.0647,.0975,.0667,.1046,.0575,.0761,.0528,.0706,.0889,.0627,.0547,.0344,.0430,.0601,.0488,.0614,.0582,.0436,.0472,.0373,.0344,.0621,.0365
17,O,ocean,.0071,.0096,.0046,.0084,.0059,.0105,.0042,.0075,.0063,.0071,.0205,.0075,.0091,.0067,.0122,.0068,.0099,.0050,.0065,.0081,.0063,.0130,.0089,.0101,.0050,.0134,.0205,.0000,.0050,.0000,.0054,.0174,.0178,.0092,.0143,.0126,.0134,.0063,.0025,.0000,.0000,.0000,.0000,.0080,.0088,.0453,.0217,.0000,.0108,.0400,.0280,.0011,.0054,.0146,.0031,.0048,.0025,.0102,.0084,.0063,.0085,.0089,.0131,.0084,.0000,.0054,.0050,.0213,.0074,.0084,.0178,.0027,.0038,.0120,.0038,.0080,.0040,.0076,.0272,.0378,.0189,.0181,.0079,.0083,.0077,.0037,.0095,.0074,.0091,.0090,.0089,.0091,.0106,.0101,.0099,.0092,.0091,.0091,.0076,.0092
18,RO,reef ocean,.0121,.0119,.0114,.0193,.0140,.0095,.0151,.0114,.0147,.0121,.0418,.0165,.0204,.0186,.0197,.0230,.0111,.0152,.0204,.0134,.0161,.0166,.0145,.0010,.0014,.0291,.0212,.0000,.0098,.0054,.0216,.0379,.0319,.0030,.0352,.0230,.0291,.0115,.0016,.0018,.0000,.0088,.0906,.0050,.0000,.0906,.0300,.0108,.0108,.0100,.0011,.0280,.0451,.0146,.0105,.0064,.0248,.0125,.0264,.0216,.0208,.0177,.0255,.0300,.0000,.0054,.0140,.0078,.0137,.0172,.0355,.0270,.0205,.0174,.0205,.0242,.0121,.0157,.0288,.0339,.0170,.0154,.0068,.0165,.0166,.0145,.0164,.0196,.0215,.0202,.0177,.0198,.0191,.0172,.0210,.0201,.0213,.0215,.0181,.0214
19,SO,shallow ocean,.0123,.0113,.0088,.0148,.0108,.0149,.0085,.0088,.0127,.0123,.0251,.0142,.0150,.0144,.0149,.0158,.0125,.0101,.0138,.0115,.0135,.0202,.0119,.0050,.0069,.0167,.0211,.0000,.0116,.0011,.0135,.0223,.0168,.0075,.0203,.0131,.0167,.0065,.0079,.0088,.0000,.0018,.0000,.0050,.0000,.0453,.0050,.0022,.0108,.0009,.0280,.0280,.0280,.0280,.0065,.0079,.0048,.0163,.0161,.0166,.0167,.0138,.0180,.0126,.0000,.0054,.0140,.0280,.0118,.0140,.0175,.0149,.0144,.0215,.0144,.0165,.0083,.0119,.0186,.0247,.0124,.0047,.0119,.0134,.0139,.0094,.0117,.0129,.0166,.0156,.0136,.0150,.0134,.0135,.0155,.0151,.0163,.0166,.0137,.0164
20,DO,deep ocean,.0063,.0088,.0047,.0115,.0070,.0087,.0166,.0046,.0054,.0063,.0499,.0064,.0145,.0065,.0181,.0094,.0087,.0077,.0071,.0102,.0053,.0082,.0105,.0101,.0050,.0346,.0228,.0019,.0041,.0199,.0098,.0641,.0847,.0118,.0290,.0402,.0346,.0211,.0025,.0000,.0181,.0088,.0181,.1000,.0018,.1359,.0050,.0217,.0108,.0640,.0056,.0056,.0098,.0056,.0115,.0049,.0114,.0078,.0273,.0074,.0125,.0132,.0220,.0202,.0019,.0145,.0037,.0056,.0078,.0097,.0859,.0093,.0065,.0075,.0065,.0231,.0125,.0155,.0518,.0685,.0352,.0254,.0064,.0105,.0150,.0073,.0248,.0138,.0093,.0110,.0146,.0128,.0186,.0150,.0130,.0126,.0101,.0093,.0142,.0100
21,S,snow,.0011,.0014,.0009,.0044,.0020,.0073,.0076,.0067,.0041,.0011,.0015,.0023,.0027,.0028,.0033,.0029,.0033,.0013,.0037,.0031,.0057,.0058,.0022,.0010,.0005,.0046,.0092,.0000,.0098,.0063,.0054,.0070,.0045,.0104,.0082,.0010,.0046,.0005,.0003,.0000,.0018,.0000,.0000,.0100,.0176,.0018,.0050,.0108,.0108,.0100,.0112,.0112,.0054,.0112,.0012,.0007,.0009,.0084,.0051,.0057,.0052,.0040,.0015,.0046,.0000,.0063,.0144,.0112,.0019,.0033,.0076,.0027,.0086,.0070,.0086,.0069,.0034,.0070,.0102,.0077,.0038,.0092,.0080,.0034,.0063,.0020,.0046,.0037,.0024,.0032,.0046,.0037,.0047,.0041,.0032,.0036,.0027,.0024,.0050,.0026
24,GL,glacier,.0084,.0155,.0242,.0115,.0200,.0499,.0058,.0090,.0116,.0084,.0061,.0070,.0091,.0123,.0135,.0103,.0270,.0128,.0095,.0393,.0105,.0079,.0193,.0302,.0160,.0364,.0113,.0475,.0096,.0906,.0196,.0188,.0717,.0485,.0095,.0634,.0364,.0555,.0089,.0018,.1812,.0176,.0018,.0250,.0018,.0091,.0050,.0000,.0217,.0050,.0112,.0112,.0196,.0112,.0666,.0201,.0596,.0300,.0109,.0119,.0134,.0140,.0075,.0345,.0475,.1014,.0065,.0112,.0149,.0156,.0114,.0186,.0126,.0149,.0126,.0140,.0308,.0222,.0068,.0084,.0280,.0079,.0417,.0152,.0240,.0271,.0359,.0268,.0058,.0107,.0206,.0148,.0227,.0170,.0118,.0138,.0079,.0058,.0242,.0074
22,BC,beach coast,.0013,.0015,.0010,.0038,.0020,.0110,.0127,.0010,.0042,.0013,.0011,.0025,.0037,.0042,.0063,.0042,.0047,.0043,.0032,.0012,.0057,.0113,.0029,.0010,.0005,.0076,.0251,.0000,.0095,.0108,.0044,.0036,.0033,.0124,.0151,.0001,.0076,.0001,.0003,.0000,.0000,.0088,.0000,.0100,.0000,.0000,.0200,.0217,.0000,.0500,.0280,.0280,.0044,.0280,.0036,.0008,.0011,.0110,.0074,.0093,.0075,.0044,.0016,.0081,.0000,.0000,.0140,.0280,.0019,.0047,.0106,.0066,.0103,.0173,.0103,.0110,.0055,.0055,.0195,.0260,.0130,.0229,.0105,.0041,.0093,.0036,.0063,.0055,.0033,.0045,.0069,.0056,.0081,.0064,.0051,.0053,.0038,.0033,.0074,.0037
23,CC,cliff coast,.0043,.0064,.0013,.0063,.0030,.0123,.0086,.0043,.0061,.0043,.0023,.0043,.0057,.0052,.0056,.0061,.0083,.0048,.0054,.0048,.0075,.0123,.0065,.0101,.0059,.0083,.0202,.0000,.0142,.0054,.0098,.0077,.0033,.0119,.0151,.0015,.0083,.0007,.0038,.0018,.0000,.0088,.0000,.0100,.0088,.0000,.0200,.0108,.0108,.0200,.0280,.0280,.0098,.0280,.0038,.0036,.0013,.0136,.0082,.0117,.0090,.0054,.0038,.0082,.0000,.0054,.0184,.0280,.0046,.0066,.0069,.0093,.0139,.0187,.0139,.0125,.0063,.0099,.0142,.0160,.0080,.0154,.0130,.0059,.0111,.0051,.0079,.0069,.0040,.0054,.0081,.0064,.0083,.0072,.0055,.0061,.0045,.0040,.0090,.0044
