id,Skill,Category,Base Stat,Untrained Description,Trained Description
36,Literacy (Common),Literacy,Int,Roll to grasp basic words and phrases in Common script.,Roll and add bonus for full comprehension and ability to read complex texts in Common.
37,Literacy (Arcane),Literacy,Int,Roll to recognize simple magical symbols or terms.,Roll and add bonus for understanding intricate arcane texts and spells written in Arcane script.
38,Literacy (Draconic),Literacy,Int,Roll to identify basic Draconic script characters and their meanings.,Roll and add bonus for fluently reading and interpreting ancient Draconic texts and lore.
39,Literacy (Angelic),Literacy,Int,Roll to discern basic Angelic symbols or messages.,Roll and add bonus for comprehending complex theological and celestial scripts in Angelic.
40,Literacy (Demonic),Literacy,Int,Roll to recognize fundamental Demonic runes or inscriptions.,"Roll and add bonus for decoding complex demonic texts, contracts, and summoning rituals written in Demonic."
41,Social (Diplomacy),Social,Wis,"Roll to navigate simple social exchanges or resolve minor conflicts. On success, consenting parties agree to terms.","Roll and add bonus for formal negotiations, resolving violent disputes, and signing alliances or agreements."
42,Social (Intimidation),Social,Wis,"Roll to threaten and implant a simple command, and on success the target obeys.",Roll and add bonus to strategically leverage insights into fears and motivations for more effective intimidation.
43,Social (Bluff),Social,Wis,"Roll to attempt a simple deception or lie, and a success will fool the target.","Roll and add bonus to construct believable and complex lies, reading the target to improve the lie's effectiveness."
44,Social (Sense Motive),Social,Wis,"Roll to get a general sense of someone's immediate intentions, a success detects any deceptions.","Roll and add bonus to accurately read underlying intentions, emotions, and covered up truths."
45,Social (Performance),Social,Wis,"Roll to entertain with a basic performance, relying on natural talent, a success moves the target toward friendly.","Roll and add bonus to captivate audiences, allowing a modicum of influence aside from direct control."
46,Social (Animal),Social,Wis,"Roll to interact with animals in a basic manner, a success indicates a neutral outcome.","Roll and add bonus for a deep understanding of animal behavior, facilitating complex communication or command."
47,Perception (Search),Perception,Wis,Roll to notice general clues or items in the environment.,Roll and add bonus to uncover hidden objects or details not obvious to the untrained eye.
48,Perception (Spot),Perception,Wis,"Roll to detect presence or changes in the immediate vicinity., ",Roll and add bonus to identify and count specific threats or important elements quickly.
49,Perception (Scent),Perception,Wis,Roll to recognize or track by smell in a basic manner.,Roll and add bonus to identify specific scents and their origins or track with high accuracy.
50,Perception (Extra Sensory),Perception,Wis,Roll to sense unusual or paranormal activity at a basic level.,Roll and add bonus to glean special information from extra-sensory perceptions.
